14, Male, Karnataka (KA), 6658546700, 162.10136817833282, 73.43899328173931
26, Male, Madhya Pradesh (MP), 8876495912, 178.133905855212, 70.68245623857193
1, Male, Uttar Pradesh (UP), 6376827825, 175.2231027293611, 69.46368358374569
60, Male, Rajasthan (RJ), 8084100080, 150.39187856223924, 77.1721859430818
65, Female, Nagaland (NL), 6600032585, 150.99341024686723, 61.64446520602257
8, Female, Rajasthan (RJ), 8551389091, 138.51387512006636, 68.87769076707406
82, Female, Telangana (TS), 8980932869, 142.92771901524515, 74.49543151420245
47, Male, Tripura (TR), 8693275170, 148.31601310126302, 82.10197137064098
87, Male, Assam (AS), 9063745207, 163.41704411824404, 79.17439944936973
59, Male, Goa (GA), 6728180647, 140.76065719899907, 68.67350781963192
68, Male, Arunachal Pradesh (AR), 9729108062, 157.08886082059692, 67.36529122868184
69, Male, Bihar (BR), 7315981628, 165.04056222589247, 71.43500134909446
80, Female, Arunachal Pradesh (AR), 7201236043, 135.70703147268316, 75.36375216241566
14, Female, Himachal Pradesh (HP), 8865146133, 170.2202644610579, 75.2256901448057
10, Male, Goa (GA), 9882796486, 161.16629489468866, 69.61629418886602
47, Male, Telangana (TS), 9820294361, 159.61079888345765, 72.98473539242869
26, Male, Telangana (TS), 7446349800, 158.722893229794, 61.62697912817594
49, Female, Meghalaya (ML), 6616793325, 167.1155511330469, 67.7487350179643
47, Female, Tripura (TR), 9487310484, 157.19837264199708, 70.17855757135811
68, Male, West Bengal (WB), 6025469629, 154.56488913282675, 66.2304812741905
66, Male, Bihar (BR), 6524738851, 165.66029204151985, 73.87821587026032
16, Female, Punjab (PB), 8574486277, 168.14127313800802, 72.28681895155891
44, Female, Nagaland (NL), 6276380988, 161.43518988803638, 68.81718469304813
25, Female, Uttar Pradesh (UP), 7491085140, 154.6755064351046, 65.10774461706865
71, Male, Himachal Pradesh (HP), 6897484973, 172.17061543383278, 73.43710613826796
79, Male, Jammu and Kashmir (JK), 9825568256, 151.78941841918555, 71.83157193992827
74, Male, Kerala (KL), 8917856744, 165.82034303973782, 72.66728570821707
5, Male, Punjab (PB), 8874643651, 155.83804752006472, 65.88908868268419
29, Female, Gujarat (GJ), 9516096247, 139.1956857646022, 71.27256759663658
79, Female, Manipur (MN), 7874640762, 170.7909816775986, 75.82551787012532
58, Female, Chhattisgarh (CG), 7030581850, 152.3866347642975, 73.03858574193897
91, Female, Rajasthan (RJ), 8957687538, 184.0371920746602, 70.17874558054793
41, Male, Chhattisgarh (CG), 7604578101, 161.0831875272725, 68.97628936752159
69, Female, West Bengal (WB), 8360657846, 167.55972637882698, 59.91013930507666
67, Female, Nagaland (NL), 7497735431, 151.9454553703726, 71.65842460655439
93, Male, Madhya Pradesh (MP), 7988527737, 164.53323340204864, 61.50217822066782
93, Male, West Bengal (WB), 7400715237, 157.30234292358725, 68.91379392748436
56, Male, Odisha(OR), 8627447334, 175.12980082433944, 81.13040144436995
14, Female, Telangana (TS), 6868003610, 166.47513756104502, 70.36762822268071
62, Male, Manipur (MN), 9409451520, 174.08040269410472, 67.12965514390338
12, Male, Meghalaya (ML), 7810603857, 165.34803860156396, 73.17115121254474
79, Female, Jharkhand (JH), 7070571599, 164.96321814468928, 72.6579556944944
22, Male, Himachal Pradesh (HP), 6796670596, 175.50297526360762, 68.76048896372973
46, Male, Manipur (MN), 8463688573, 161.23038258955575, 64.29839045671508
89, Male, Rajasthan (RJ), 8059023133, 167.289446795026, 72.90532774954457
40, Male, Bihar (BR), 9952903672, 150.14746195315138, 64.92203541278035
61, Male, Uttar Pradesh (UP), 8471631680, 170.051580130107, 64.88352167896875
91, Male, Manipur (MN), 7259660671, 168.0365086287961, 79.64797513770684
51, Female, Himachal Pradesh (HP), 9815794436, 155.36040628177622, 68.33792085626159
43, Female, Himachal Pradesh (HP), 6622436636, 164.13777427846452, 78.48205705439534
13, Female, Uttar Pradesh (UP), 9604626774, 170.63920627126816, 79.08646653608581
76, Female, Maharashtra (MH), 8752960005, 153.12871579851634, 74.48862394321486
51, Male, Meghalaya (ML), 8008503478, 149.46043342625444, 69.06053971017442
16, Female, Odisha(OR), 6558300938, 154.89529351917662, 74.69831448374434
70, Female, Tamil Nadu (TN), 6385146975, 167.8329058600009, 71.636140038867
61, Female, Telangana (TS), 9580488104, 142.89768520743587, 73.23541904225168
49, Female, Jammu and Kashmir (JK), 9232795388, 157.14654340561174, 70.28935266180757
1, Female, Haryana (HR), 7706934201, 154.89577504730286, 75.39636645011097
77, Male, Manipur (MN), 7494923962, 161.46790946934115, 75.35362079922486
86, Male, Uttar Pradesh (UP), 8533319152, 165.62939522823177, 83.58187729564149
88, Male, Jammu and Kashmir (JK), 6504975658, 149.37622203228278, 62.34558067431739
97, Male, Telangana (TS), 7401208360, 167.1251080380219, 79.42309933109081
36, Female, Arunachal Pradesh (AR), 9853910641, 158.3264877746053, 68.64434328270737
77, Male, Chhattisgarh (CG), 9812912340, 155.85600713842558, 65.25352644676236
66, Female, West Bengal (WB), 6746691735, 171.39401679180978, 74.28297941220512
71, Female, Mizoram (MZ), 9621605497, 138.768469814622, 68.7064454872901
66, Female, Sikkim (SK), 8946272989, 169.47978735512342, 67.06746319652282
40, Female, Chhattisgarh (CG), 6337665942, 152.28108452105084, 72.76587200123099
32, Male, Kerala (KL), 8016675919, 163.78232720375834, 64.60282124741889
29, Female, Haryana (HR), 7932815322, 157.08261804543395, 69.7567927847449
56, Female, Odisha(OR), 7844941657, 142.7619771815253, 69.92062124424034
48, Male, Mizoram (MZ), 6523219004, 167.40016653633262, 67.9029927747746
73, Male, Gujarat (GJ), 7461744030, 162.5601552901636, 74.26834386019291
2, Female, Kerala (KL), 7366116142, 146.68074695987903, 74.68484603333528
5, Female, Punjab (PB), 7613580926, 163.84755897399467, 67.0749727390356
3, Female, Telangana (TS), 7926478238, 160.03485840685704, 72.65280744999353
29, Male, Nagaland (NL), 8916042266, 142.4247405314677, 76.17353163479225
36, Male, Goa (GA), 7881175370, 157.49142396999133, 73.90062007600957
58, Male, Manipur (MN), 8233338099, 160.69034821490763, 64.73000740570234
3, Male, Maharashtra (MH), 9835037430, 176.20729549763837, 72.23136093870914
27, Female, Tamil Nadu (TN), 9454701256, 169.72588062364187, 70.62862579160216
84, Male, Meghalaya (ML), 9910352099, 155.55762996102973, 73.9161657585829
33, Female, Madhya Pradesh (MP), 7708152215, 161.93812207044053, 64.73840466656046
33, Female, Punjab (PB), 7469319075, 170.1650432822775, 71.2400829267963
35, Male, Punjab (PB), 7179668385, 143.08838988382627, 76.04259484547609
21, Male, Tripura (TR), 9435580837, 162.56281347149653, 63.64908950739817
8, Female, Karnataka (KA), 8413212740, 188.0713056899258, 70.8019594467431
77, Male, Chhattisgarh (CG), 9751380540, 175.28132297075953, 68.23935475413609
42, Female, Haryana (HR), 7475750906, 149.50031302211798, 75.35132624072543
26, Female, Goa (GA), 9732733766, 143.58316972121625, 76.13614656236305
49, Male, Gujarat (GJ), 6525359122, 162.78011512865655, 70.3416236909278
69, Male, Bihar (BR), 9781936018, 156.1743275073356, 72.90329570729698
71, Male, Himachal Pradesh (HP), 7299024321, 173.85066614076467, 65.53639985847458
66, Male, Bihar (BR), 7433084847, 146.78045323869907, 78.72193565401471
36, Female, Nagaland (NL), 6667002235, 157.0644548164857, 68.97720293655594
53, Male, Odisha(OR), 6720372875, 142.17702084700966, 67.6578988659303
27, Female, Punjab (PB), 6139493430, 144.56264978959993, 52.98863913053421
17, Male, Telangana (TS), 9063719696, 140.55949874106102, 66.0437357007019
16, Female, Bihar (BR), 6792254724, 163.996952979872, 72.59605882260331
43, Male, Rajasthan (RJ), 6581862424, 163.18544850854278, 72.32650452210672
27, Male, Uttar Pradesh (UP), 6080856363, 154.0607555175858, 69.8189316136729
23, Male, Uttar Pradesh (UP), 8153228757, 154.90978138458942, 66.95986005153019
69, Male, Maharashtra (MH), 8885956733, 154.15066427007346, 68.41588063891439
84, Male, Gujarat (GJ), 7693626627, 163.41554208576383, 67.6343383262971
65, Male, Haryana (HR), 7879335061, 174.18313524273822, 68.63925998104753
11, Male, Maharashtra (MH), 6829944609, 162.322436176059, 69.78169770233553
15, Male, Madhya Pradesh (MP), 9681316076, 164.6035653642278, 66.17052492927914
63, Male, Sikkim (SK), 7714751882, 156.69340696757553, 64.23353497961583
58, Male, Goa (GA), 9947259544, 159.5863470675119, 79.8092614566611
60, Female, Odisha(OR), 6771498494, 159.6985049271348, 63.76331438452605
99, Male, Uttar Pradesh (UP), 7468890632, 170.6307769950321, 68.6953501609693
64, Female, Arunachal Pradesh (AR), 8942073682, 152.2594327651023, 66.14822622610988
45, Female, Nagaland (NL), 9955667084, 166.91844838050565, 64.44584483706981
64, Female, Uttar Pradesh (UP), 6617589279, 153.91183533857367, 69.7847916921754
47, Male, West Bengal (WB), 9384913720, 167.59099206701035, 66.18958300090826
93, Male, Madhya Pradesh (MP), 9866726185, 144.18920619051391, 70.92151835200067
24, Female, Gujarat (GJ), 9221582023, 153.25566705259448, 66.6740962281267
92, Male, Chhattisgarh (CG), 6150489235, 164.45031130380764, 68.65453349033444
81, Female, Rajasthan (RJ), 6076892863, 151.38760321193084, 71.30850175359654
48, Female, Punjab (PB), 8397603439, 154.9971899270459, 67.4031341689851
73, Female, Kerala (KL), 9176912948, 162.01864301619904, 70.08638185489644
73, Female, Manipur (MN), 7852360858, 169.224029720272, 67.03228222292586
80, Female, Tripura (TR), 9290995373, 148.97418094998997, 74.41240490540197
97, Male, Jharkhand (JH), 6335621418, 162.0123155732203, 73.11352928451123
71, Female, Uttar Pradesh (UP), 6980214768, 160.07451662975862, 61.71553681130408
74, Male, Haryana (HR), 6827876259, 177.8452230140169, 63.3512691732475
86, Male, Sikkim (SK), 7970392316, 156.79601590952902, 83.14723431653105
64, Female, Uttarakhand (UK), 6385371485, 143.58326254104384, 63.42198846811065
2, Female, Jammu and Kashmir (JK), 7964602561, 156.1977146393648, 71.37236281727537
78, Male, Meghalaya (ML), 6320673408, 143.28266392477738, 67.59487325749319
75, Male, Uttarakhand (UK), 6816074597, 166.8759753521177, 66.05512705395574
54, Male, Rajasthan (RJ), 7065908861, 147.32847021226974, 58.96733556680968
4, Female, Meghalaya (ML), 6666718640, 152.27879966468825, 72.42493900299951
26, Male, Madhya Pradesh (MP), 6024752457, 158.31849607363327, 73.33780335434041
99, Male, Uttar Pradesh (UP), 9437401551, 158.83214286198273, 70.61124312759861
47, Male, Kerala (KL), 6854511607, 152.45889154568664, 72.13016161446312
31, Female, Tripura (TR), 6274768596, 160.3416132275553, 76.03163206389797
62, Female, Haryana (HR), 9904517388, 152.02612845207327, 66.24960361608021
33, Male, Haryana (HR), 9131535315, 164.44585882081623, 61.89659705561769
40, Male, Himachal Pradesh (HP), 7453711622, 178.33259675834168, 75.20409332851202
93, Female, Andhra Pradesh (AP), 7883215896, 173.9611821382492, 75.53682742718317
75, Female, West Bengal (WB), 9939651402, 160.12624766260092, 75.17023461854134
46, Male, Gujarat (GJ), 9415223719, 158.16814063704084, 76.79601065585337
91, Male, Kerala (KL), 6227324559, 156.23600848669466, 65.6137834018223
88, Male, Manipur (MN), 9615503162, 175.58019664383139, 64.51755360790116
11, Male, Chhattisgarh (CG), 9387544781, 168.2937764272269, 69.42283728705684
18, Male, Gujarat (GJ), 7696123875, 169.62042045476022, 62.714903046230035
91, Male, Bihar (BR), 6612018773, 162.28453263944604, 70.17680275440127
38, Male, Himachal Pradesh (HP), 7290673963, 182.98337482314366, 77.37064189533226
70, Male, Punjab (PB), 7981477703, 170.26855315814706, 75.7233754226104
7, Male, Karnataka (KA), 6237727386, 182.3553524197631, 69.49520070597455
41, Male, Bihar (BR), 9613907766, 154.12626543360054, 69.995406745607
43, Male, Madhya Pradesh (MP), 7077608453, 166.8494548799175, 61.20831005283217
29, Male, Assam (AS), 6127674226, 164.0673508837247, 76.2636667729057
64, Male, Nagaland (NL), 7024783791, 164.38380138623614, 71.77171498416489
25, Female, Arunachal Pradesh (AR), 9162771124, 172.3403158725804, 68.96764893156092
77, Male, Meghalaya (ML), 6876128655, 159.0020495929152, 68.3510046276206
74, Male, Gujarat (GJ), 6018481384, 149.30699988230265, 64.06316992470174
85, Female, Arunachal Pradesh (AR), 6167106903, 165.80382870883597, 68.13507473802831
34, Female, Tamil Nadu (TN), 7718058581, 160.52120144776367, 69.59612778097117
82, Female, Kerala (KL), 6207222484, 155.4457899617032, 83.61100697778026
55, Female, Haryana (HR), 9352963300, 170.44071725311076, 70.88059168229549
4, Female, Jharkhand (JH), 9676874778, 175.99723161806423, 71.71632938347742
16, Female, Chhattisgarh (CG), 8816123351, 147.9397157201135, 72.29293919746473
75, Male, Kerala (KL), 7729306467, 164.456919597281, 73.20002775881926
18, Male, Tripura (TR), 8472553790, 166.98874742576078, 65.79578910741772
76, Female, Telangana (TS), 8694029757, 167.43942778073625, 72.86614743673896
32, Female, Himachal Pradesh (HP), 6748281692, 168.4608435204326, 62.948517769088745
53, Male, Punjab (PB), 6318051096, 159.37771900315596, 81.63471838194738
86, Male, Jammu and Kashmir (JK), 9169406414, 167.64533928987407, 73.2550439294531
79, Male, Jammu and Kashmir (JK), 9361882284, 164.7745969775206, 71.2519821353954
53, Female, Uttar Pradesh (UP), 8824907020, 138.95721268098697, 70.53305930563383
3, Female, Tamil Nadu (TN), 9852376088, 158.04557483818306, 73.35656658441536
61, Female, Himachal Pradesh (HP), 8549094703, 161.2087227052231, 73.39059562605748
30, Male, Telangana (TS), 9715836465, 158.55892116867503, 61.98420474094105
47, Female, Andhra Pradesh (AP), 9532292242, 166.96854030549073, 71.61748864090103
69, Female, Telangana (TS), 8342012830, 164.77429555094494, 63.34219136089471
85, Male, Tamil Nadu (TN), 9078260497, 162.94083503823742, 74.84795077743718
28, Female, Kerala (KL), 7902002667, 148.49692685246586, 76.15997566727523
79, Male, Gujarat (GJ), 8096796329, 167.96801359737188, 76.7025796518399
26, Female, Arunachal Pradesh (AR), 9577628189, 154.4801461277816, 77.02351355895884
67, Male, Assam (AS), 9071145760, 163.90039730263075, 66.60541408347513
55, Male, Sikkim (SK), 9516346726, 152.7984950456458, 73.79155708397835
87, Male, Sikkim (SK), 7882855677, 150.97261114459943, 68.80661168671406
22, Female, Jammu and Kashmir (JK), 8814211735, 138.2380082427326, 67.66790991081979
88, Male, Himachal Pradesh (HP), 9608066005, 165.79728634012787, 70.9654461380828
83, Female, Bihar (BR), 7914285788, 161.08647989695802, 73.26658810280829
26, Male, West Bengal (WB), 8568869098, 160.02628491783628, 76.02640458205175
34, Female, Chhattisgarh (CG), 7814145383, 168.06297772913234, 67.49968948729428
36, Female, Chhattisgarh (CG), 6207669625, 171.1341206751225, 71.44183457039786
30, Male, Maharashtra (MH), 8316321497, 162.7820942948712, 65.62408728930038
24, Female, Tamil Nadu (TN), 9887460130, 184.64702424778795, 69.75463967509371
19, Female, Odisha(OR), 7504101841, 148.56905137659638, 68.77348578298604
46, Female, Chhattisgarh (CG), 6309887544, 158.7945741202555, 62.18068552745914
90, Female, Odisha(OR), 6404239315, 161.62420476575912, 66.49971874033338
2, Female, Nagaland (NL), 9031582775, 170.5608952842588, 69.16747722626911
80, Male, Bihar (BR), 7717321151, 158.34628554871017, 81.08759356449718
3, Female, Madhya Pradesh (MP), 9223899173, 149.47542773221068, 71.89176187243488
42, Female, Manipur (MN), 9627300004, 157.08665976889577, 73.50543701613975
32, Male, Maharashtra (MH), 9964245141, 158.88839723162954, 78.55123330841073
66, Female, Uttar Pradesh (UP), 7683562441, 152.0859113972782, 72.5859717591019
40, Female, Jharkhand (JH), 8266201576, 174.86878664605783, 63.416993701552606
84, Male, Jammu and Kashmir (JK), 9417186844, 162.6870142698677, 69.50663311147338
6, Female, Jammu and Kashmir (JK), 6922589336, 166.11998038001195, 67.26129310479563
63, Female, Arunachal Pradesh (AR), 9162912031, 162.13696290003045, 72.91567397794495
45, Male, Andhra Pradesh (AP), 6794330504, 172.23258740746812, 75.33755831057346
67, Male, Odisha(OR), 8119781740, 156.73941229217354, 66.49930774845943
44, Male, Karnataka (KA), 8734708053, 169.65847237334725, 73.31878313634405
93, Male, Meghalaya (ML), 6982635933, 135.3314848859073, 73.9013796522953
98, Male, Maharashtra (MH), 9484204677, 169.64449396846788, 72.2638767876283
81, Female, Telangana (TS), 9715190531, 147.86949233470943, 73.87890461464904
35, Male, Himachal Pradesh (HP), 9739457137, 188.3027003772269, 65.3526066582936
1, Female, Jammu and Kashmir (JK), 9104816958, 165.64719691547103, 64.70460468570357
41, Female, Assam (AS), 6374629883, 159.82946477107788, 75.09461534956162
49, Female, Arunachal Pradesh (AR), 8299709770, 174.10814540916692, 70.52729319170433
11, Female, Mizoram (MZ), 7341313568, 160.7457059801108, 75.75653234517003
46, Female, Punjab (PB), 7304090965, 155.10004443685813, 78.62895105459778
53, Female, Kerala (KL), 9024266756, 149.74724094674013, 70.0522789263114
14, Female, Sikkim (SK), 7517549317, 161.27946892491119, 70.7505907326202
40, Male, Kerala (KL), 8842805962, 156.59470768262233, 66.08544967909616
31, Male, Jammu and Kashmir (JK), 8561772188, 147.1392674286456, 69.80828684169168
30, Male, Punjab (PB), 9422070170, 162.79741743225674, 64.23636942965365
1, Male, Nagaland (NL), 6377251526, 179.07494405718433, 62.57348563805147
39, Male, Haryana (HR), 6571555959, 153.80743995192063, 63.28847356858003
99, Female, Manipur (MN), 9529636891, 155.79013735415958, 64.93923478559813
41, Female, Gujarat (GJ), 9983515939, 136.5254524568548, 76.31888869312219
8, Female, Jammu and Kashmir (JK), 9648883833, 136.4500321352378, 75.509631358965
27, Female, Kerala (KL), 8249742336, 166.94473533294777, 63.62733077882937
37, Male, Goa (GA), 9870392363, 143.69599023859013, 77.21233721005206
84, Female, Sikkim (SK), 7861592615, 156.33076476644828, 71.16136004553279
7, Male, Tripura (TR), 6580010762, 166.8284779503984, 78.66547297844102
95, Female, Punjab (PB), 8924793303, 151.98155598828797, 68.11958914004907
95, Male, Jammu and Kashmir (JK), 9929892238, 165.38192300588048, 68.7522554233309
35, Male, Bihar (BR), 6934881694, 164.36699761266073, 63.92406493043934
5, Male, Punjab (PB), 6656546310, 137.85231971200164, 76.3454328488659
64, Male, Haryana (HR), 9667440647, 155.228089839245, 66.41146298011707
98, Female, Maharashtra (MH), 9214302265, 150.49578114329142, 69.5515559028626
91, Female, Odisha(OR), 7212488009, 168.92336813994788, 67.89553743481558
17, Male, Tamil Nadu (TN), 8604824466, 169.65698676965584, 75.18597106012304
64, Female, Sikkim (SK), 8596123314, 152.70902687138664, 73.11622262813559
9, Male, Meghalaya (ML), 9219332147, 164.39047518750294, 58.1368121679422
84, Male, Goa (GA), 6537102261, 175.35767641224203, 70.69123727767261
9, Female, Jammu and Kashmir (JK), 8054045148, 176.41163439171785, 78.5062413858932
34, Male, Odisha(OR), 8534217046, 151.40334633034823, 74.20237057590728
34, Male, Manipur (MN), 6667487632, 166.31489878563897, 66.99486172338042
31, Female, Tamil Nadu (TN), 9896925553, 134.18004238475766, 76.08532037627896
10, Female, Mizoram (MZ), 7718389965, 147.7742756448772, 64.07917090421344
13, Female, Sikkim (SK), 6030932264, 152.05140774842533, 75.65435972698363
3, Male, Arunachal Pradesh (AR), 8494161457, 146.87240477189476, 65.26994351170326
50, Male, Sikkim (SK), 9533692153, 149.58940399058218, 63.27180063883712
64, Male, Kerala (KL), 9777533453, 159.39991372500924, 61.88131215667557
33, Female, Sikkim (SK), 7562938115, 176.90876980018768, 80.81707408882276
96, Female, Goa (GA), 7871694683, 159.97584391717336, 78.16740365054461
31, Female, Kerala (KL), 8863526139, 160.8315665304613, 75.08368427048262
62, Male, Rajasthan (RJ), 8581361239, 140.98102668337478, 63.188760437849304
59, Male, Mizoram (MZ), 8872493982, 156.3376234960276, 69.63611085263943
97, Male, Haryana (HR), 8016052977, 144.83848473487916, 66.83417632026553
41, Female, Bihar (BR), 8871474843, 167.29068773582924, 65.13779104844133
71, Female, Chhattisgarh (CG), 7278639938, 150.26237249113902, 67.9143137753635
95, Female, Karnataka (KA), 7495180463, 159.0358795760102, 74.96680144742453
7, Male, Sikkim (SK), 9122181012, 160.1096066376568, 64.9473842484278
58, Female, Punjab (PB), 8267362547, 159.56147428410725, 67.62531333863006
67, Female, Himachal Pradesh (HP), 6061341105, 166.98325007578245, 81.30629729030319
21, Male, Jammu and Kashmir (JK), 8711235616, 151.80966604458845, 70.61775633963933
33, Male, Jharkhand (JH), 8875133484, 181.75182580307595, 76.6428332512049
56, Female, Tripura (TR), 8726373201, 157.56068147752498, 71.85515002679014
86, Male, Meghalaya (ML), 8636948218, 161.92509864397144, 64.67543060795006
95, Male, Bihar (BR), 8608110990, 164.4629551907018, 69.3054440724864
56, Male, Uttar Pradesh (UP), 9353211474, 161.78646531451452, 71.5463263385891
54, Male, Haryana (HR), 7930474296, 161.4455284651343, 74.104498821481
36, Male, Punjab (PB), 9972731649, 179.4887107730376, 56.72098671469786
48, Female, Chhattisgarh (CG), 9262678511, 148.089493123024, 71.60396655857929
70, Female, Himachal Pradesh (HP), 6080496119, 162.5103626205107, 65.10567534911817
28, Male, Assam (AS), 8326556593, 166.19668023464973, 69.23252131621041
84, Male, Rajasthan (RJ), 9317630111, 172.5916162961013, 64.56852515644646
65, Male, Jharkhand (JH), 8212804748, 155.9103590145384, 80.64517505178414
46, Female, Chhattisgarh (CG), 7866939287, 194.43892303738085, 76.6972495007581
13, Male, Sikkim (SK), 8514137238, 172.83844239311935, 69.69720746611203
11, Male, Arunachal Pradesh (AR), 8505816209, 155.38195945733918, 69.44127825575583
10, Male, Odisha(OR), 7221073409, 157.7022956354295, 73.08673782274198
1, Female, Jammu and Kashmir (JK), 6487901561, 164.6293036383499, 76.9713264779245
73, Male, Chhattisgarh (CG), 7617142779, 160.92964584291983, 65.38140948839317
22, Female, West Bengal (WB), 9033889030, 155.6699852226992, 64.82215734958518
40, Male, Nagaland (NL), 8570754127, 142.51719824099877, 71.48592705852471
69, Male, Himachal Pradesh (HP), 8432439215, 162.2421879605841, 66.83778936244738
54, Male, Maharashtra (MH), 9793370804, 167.17260884871777, 69.77675070343564
44, Female, Nagaland (NL), 8619526138, 177.29264953701315, 66.9585001033064
9, Male, Manipur (MN), 7953746513, 159.11161276496176, 72.47043664762869
93, Male, Kerala (KL), 6217442728, 148.2819278466745, 68.99524870792969
55, Male, Tamil Nadu (TN), 7708526352, 161.94650233834022, 58.244512533061524
9, Female, Madhya Pradesh (MP), 8099945644, 164.19748185347555, 75.19327197907116
65, Female, Madhya Pradesh (MP), 8764854048, 165.15643199795716, 70.14063316705904
47, Male, Uttarakhand (UK), 6859496456, 140.0383967189167, 66.70121325130016
33, Female, Andhra Pradesh (AP), 8205980865, 156.2850410451237, 68.86237471895228
35, Male, Goa (GA), 7694997414, 140.98069431215023, 75.44727625466105
27, Male, Sikkim (SK), 6457923536, 163.51568944556695, 61.757038814672235
21, Female, West Bengal (WB), 8926123182, 132.02851668052287, 60.37900958658654
50, Male, Manipur (MN), 6196544776, 156.18352538620712, 66.060899226207
7, Male, Goa (GA), 7572814751, 150.53812688825502, 70.48859197053335
56, Female, Tripura (TR), 7806584872, 157.06290395851562, 70.03216845030016
16, Female, Sikkim (SK), 7795446892, 168.82218445073215, 71.72992353991218
1, Male, Telangana (TS), 9787964141, 164.86240352470153, 75.96691570815904
32, Female, Meghalaya (ML), 9824591787, 174.39235927812268, 71.18141071642503
36, Female, Meghalaya (ML), 7236569464, 159.75752878328032, 70.39388331261361
93, Male, Haryana (HR), 8932080797, 169.966047880707, 68.83272312665395
5, Male, Uttarakhand (UK), 7975007124, 174.63587916968496, 61.96453769985058
28, Male, Haryana (HR), 9199576229, 163.37604848563777, 70.09610343782941
97, Female, Goa (GA), 8479603016, 164.63713558754603, 71.25683657957201
82, Male, Karnataka (KA), 6564381190, 146.81238479592852, 68.05954541275702
44, Female, Tripura (TR), 8287561056, 165.55268102551275, 71.80629576013784
17, Female, Kerala (KL), 7838440213, 160.110131718255, 66.50263791453176
30, Male, Gujarat (GJ), 7350443474, 170.8844092305325, 69.39158214953076
78, Female, Uttarakhand (UK), 9702247826, 163.8234279881847, 59.9340191387181
45, Female, Karnataka (KA), 9375756689, 162.60951002783065, 65.19700233786838
14, Female, Sikkim (SK), 8867046467, 162.1605778444465, 65.3377665842749
21, Male, Manipur (MN), 7784070685, 170.6424044251425, 65.63497051264632
19, Female, Andhra Pradesh (AP), 8209491341, 175.99322100263123, 66.65733964203532
34, Female, Punjab (PB), 6369671284, 144.6050640753129, 61.43095655594324
37, Male, Punjab (PB), 6062096123, 147.3892465787312, 68.22756851915206
59, Female, Punjab (PB), 7488800524, 186.7352110808731, 62.9827286095589
93, Male, Punjab (PB), 9543751387, 152.6102558956349, 80.31062957253519
7, Female, Sikkim (SK), 7594852303, 152.36906330986628, 68.5417334287758
